tag_id,name,category,count,right_tag_cn
1687002,male_underwear_peek,0,752,male_underwear_peek
1687562,off-shoulder_one-piece_swimsuit,0,897,off-shoulder_one-piece_swimsuit
1688136,saliva_drip,0,908,saliva_drip
1688526,kokona_(blue_archive),4,1438,kokona_(blue_archive)
1688938,vira_(granblue_fantasy),4,919,vira_(granblue_fantasy)
1689852,hatsutori_hajime,4,706,hatsutori_hajime
1689923,pectoral_cleavage,0,9907,pectoral_cleavage
1690099,lop_rabbit_ears,0,692,lop_rabbit_ears
1690512,black_tube_top,0,718,black_tube_top
1690520,white_tube_top,0,657,white_tube_top
1690649,limiter_(tsukumo_sana),0,730,limiter_(tsukumo_sana)
1690813,market_stall,0,650,market_stall
1690906,kamisato_ayato,4,1327,kamisato_ayato
1691576,two-tone_bodysuit,0,1558,two-tone_bodysuit
1691759,censored_nipples,0,2476,censored_nipples
1692320,nemo_(fate),4,698,nemo_(fate)
1692684,sakurako_(blue_archive),4,641,sakurako_(blue_archive)
1692877,fruit_hat_ornament,0,733,fruit_hat_ornament
1693037,le_malin_(listless_lapin)_(azur_lane),4,805,le_malin_(listless_lapin)_(azur_lane)
1693074,own_hands_clasped,0,12325,own_hands_clasped
1693508,cut_bangs,0,828,cut_bangs
